player_id,distance_q1_m,distance_q2_m,distance_q3_m,distance_q4_m,sprint_seconds_q1,sprint_seconds_q2,sprint_seconds_q3,sprint_seconds_q4,sprint_events_q1,sprint_events_q2,sprint_events_q3,sprint_events_q4,dist_drop_pct,sprint_drop_pct,fatigue_score
11897,2264.571,1780.294,2111.159,2109.961,104.76,62.08,95.96,119.36,117,102,117,140,6.83,-13.94,-7.11
50982,2308.966,1907.49,2347.018,810.885,119.64,103.76,107.56,41.76,121,105,107,53,64.88,65.1,129.98
50999,404.252,345.844,378.741,213.307,13.4,13.72,13.48,8.44,40,34,44,24,47.23,37.01,84.25
51002,2754.131,2839.051,2821.556,2632.349,168.04,182.52,164.44,171.32,152,160,169,155,4.42,-1.95,2.47
51043,2521.127,2399.878,2104.077,0.0,134.44,115.16,110.24,0.0,112,116,101,0,100.0,100.0,200.0
51050,2252.973,569.673,0.0,0.0,112.16,25.96,0.0,0.0,111,26,0,0,100.0,100.0,200.0
51694,2833.402,2751.851,2926.35,2802.561,198.4,183.52,207.8,207.6,125,129,138,145,1.09,-4.64,-3.55
51722,0.0,0.0,217.637,2815.731,0.0,0.0,10.36,155.6,0,0,7,124,0.0,0.0,0.0
69111,0.0,1590.943,1888.277,1774.728,0.0,87.12,111.16,85.68,0,94,124,88,0.0,0.0,0.0
287934,3088.455,2935.701,2759.94,2646.292,210.4,187.2,199.52,164.64,143,122,158,126,14.32,21.75,36.07
333110,0.0,0.0,0.0,1217.787,0.0,0.0,0.0,83.48,0,0,0,71,0.0,0.0,0.0
560882,2733.848,2493.323,2314.189,0.0,160.76,145.8,138.4,0.0,128,124,127,0,100.0,100.0,200.0
560983,2721.415,2401.3,2495.19,2306.967,144.92,140.04,154.4,138.84,121,98,145,145,15.23,4.2,19.42
560984,2497.315,2502.341,2408.201,2310.563,134.32,134.24,134.88,126.16,140,119,132,129,7.48,6.08,13.55
560985,548.196,333.623,493.431,495.129,21.76,6.56,10.88,14.8,49,31,41,63,9.68,31.99,41.67
560986,2915.356,2594.388,2836.279,1256.25,185.76,151.84,188.44,83.08,116,117,115,46,56.91,55.28,112.18
560987,2966.017,2673.735,2174.982,0.0,167.72,140.92,122.6,0.0,136,114,122,0,100.0,100.0,200.0
560988,0.0,0.0,691.54,2910.151,0.0,0.0,45.6,186.72,0,0,38,146,0.0,0.0,0.0
560989,1947.575,1456.547,1840.056,1887.09,87.04,66.04,83.36,92.76,95,80,94,130,3.11,-6.57,-3.47
795530,3127.811,3081.349,3135.122,2920.789,217.88,201.84,233.6,224.12,130,122,134,138,6.62,-2.86,3.75
795533,0.0,0.0,782.942,2742.923,0.0,0.0,43.76,160.28,0,0,31,127,0.0,0.0,0.0
795537,2706.168,2241.67,2426.793,2123.41,155.56,120.84,145.6,114.16,111,104,116,144,21.53,26.61,48.15
795541,0.0,0.0,313.045,2683.762,0.0,0.0,20.16,166.36,0,0,9,153,0.0,0.0,0.0
797298,2706.205,2472.16,2320.006,0.0,167.28,132.64,143.84,0.0,133,103,121,0,100.0,100.0,200.0
809166,2128.185,1666.398,2150.156,2078.139,94.24,76.64,102.44,117.16,91,85,114,153,2.35,-24.32,-21.97
809869,0.0,0.0,0.0,2020.308,0.0,0.0,0.0,142.52,0,0,0,101,0.0,0.0,0.0
965697,2215.012,1999.845,1798.083,1743.39,135.32,106.64,99.04,81.32,108,97,110,91,21.29,39.91,61.2
965698,0.0,0.0,270.892,2413.728,0.0,0.0,16.52,146.88,0,0,10,146,0.0,0.0,0.0
966112,3056.797,3002.627,2270.57,0.0,215.8,205.32,163.04,0.0,127,124,100,0,100.0,100.0,200.0
966113,0.0,0.0,0.0,503.674,0.0,0.0,0.0,48.92,0,0,0,22,0.0,0.0,0.0
966114,2604.398,2683.842,1956.826,0.0,142.28,136.64,128.72,0.0,115,124,100,0,100.0,100.0,200.0
966115,0.0,0.0,693.273,2887.235,0.0,0.0,47.08,193.08,0,0,35,173,0.0,0.0,0.0
